"parameter","hmc_mean","hmc_sd","vi_mean","vi_sd"
"beta[1]",7.83911133765,0.00218564346994589,7.8316774134,0.000983989194639888
"beta[2]",0.331541751298333,0.00232905039078195,0.323482942595,0.00129293240636374
"beta[3]",0.227698140556667,0.00290906170096989,0.22046134843,0.000691108812892922
"beta[4]",0.451768505298333,0.00201616968182727,0.44501447627,0.00183173991931431
"beta[5]",0.459621645921667,0.00114330765557369,0.4520275257,0.000375310811382486
"beta[6]",0.242954214698333,0.00104112287206854,0.234916472555,0.000542559696623903
"beta[7]",-0.0869515973841667,0.000618852224051619,-0.0957892975855,0.000517035780080598
"beta[8]",-0.0624120708355,0.000611884902455973,-0.0559487136505,0.00113080194156154
"beta[9]",0.0187311410315,0.00123959107003388,0.01156136251325,0.00115051677517543
"beta[10]",-0.146588133226667,0.00370965896222513,-0.153172633545,0.0032456575193502
